month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Bronx,2,EXP,BXM6,Peak,891.877,61,14.417733
2020-01-01,Bronx,1,EXP,BXM7,Off-Peak,26385.756,1745,15.119268
2020-01-01,Bronx,1,EXP,BXM7,Peak,18183.64,1400,12.985173
2020-01-01,Bronx,2,EXP,BXM7,Off-Peak,8734.169,507,17.216526
2020-01-01,Bronx,2,EXP,BXM7,Peak,3572.332,211,16.881744
2020-01-01,Bronx,1,EXP,BXM8,Off-Peak,14505.444,1137,12.753558
2020-01-01,Bronx,1,EXP,BXM8,Peak,10336.543,921,11.221824
2020-01-01,Bronx,2,EXP,BXM8,Off-Peak,3802.268,246,15.399218
2020-01-01,Bronx,2,EXP,BXM8,Peak,1493.83,100,14.805585
2020-01-01,Bronx,1,EXP,BXM9,Off-Peak,16206.163,1213,13.355856
2020-01-01,Bronx,1,EXP,BXM9,Peak,9903.393,862,11.477459
2020-01-01,Bronx,2,EXP,BXM9,Off-Peak,3856.5662,250,15.417887
2020-01-01,Bronx,2,EXP,BXM9,Peak,1599.7621,103,15.392811
2020-01-01,Brooklyn,1,LCL/LTD,B1,Off-Peak,26851.738,3619,7.4178224
2020-01-01,Brooklyn,1,LCL/LTD,B1,Peak,12212.746,1772,6.8884254
2020-01-01,Brooklyn,2,LCL/LTD,B1,Off-Peak,9528.296,1235,7.7124753
2020-01-01,Brooklyn,2,LCL/LTD,B1,Peak,3874.095,523,7.4023914
2020-01-01,Brooklyn,1,LCL/LTD,B100,Off-Peak,10945.466,1166,9.379706
2020-01-01,Brooklyn,1,LCL/LTD,B100,Peak,8128.873,938,8.665247
2020-01-01,Brooklyn,2,LCL/LTD,B100,Off-Peak,2439.396,241,10.086054
2020-01-01,Brooklyn,2,LCL/LTD,B100,Peak,1130.835,117,9.642683
2020-01-01,Brooklyn,1,LCL/LTD,B103,Off-Peak,34049.035,4064,8.376221
2020-01-01,Brooklyn,1,LCL/LTD,B103,Peak,17435.121,2304,7.565585
2020-01-01,Brooklyn,2,LCL/LTD,B103,Off-Peak,10443.911,1164,8.971049
2020-01-01,Brooklyn,2,LCL/LTD,B103,Peak,4034.4749,467,8.632663
2020-01-01,Brooklyn,1,LCL/LTD,B11,Off-Peak,15216.876,2530,6.014301
2020-01-01,Brooklyn,1,LCL/LTD,B11,Peak,7613.895,1406,5.4141808
2020-01-01,Brooklyn,2,LCL/LTD,B11,Off-Peak,5396.351,775,6.961402
2020-01-01,Brooklyn,2,LCL/LTD,B11,Peak,2125.704,323,6.5703573
2020-01-01,Brooklyn,1,LCL/LTD,B12,Off-Peak,16847.793,2805,6.0048704
2020-01-01,Brooklyn,1,LCL/LTD,B12,Peak,6603.905,1319,5.0055556
2020-01-01,Brooklyn,2,LCL/LTD,B12,Off-Peak,6564.005,976,6.7220097
2020-01-01,Brooklyn,2,LCL/LTD,B12,Peak,2379.398,379,6.2637577
2020-01-01,Brooklyn,1,LCL/LTD,B13,Off-Peak,16670.812,2025,8.230979
2020-01-01,Brooklyn,1,LCL/LTD,B13,Peak,8286.5625,1116,7.424896
2020-01-01,Brooklyn,2,LCL/LTD,B13,Off-Peak,5813.944,658,8.826968
2020-01-01,Brooklyn,2,LCL/LTD,B13,Peak,2029.664,242,8.363224
2020-01-01,Brooklyn,1,LCL/LTD,B14,Off-Peak,12157.57,1756,6.9218063
2020-01-01,Brooklyn,1,LCL/LTD,B14,Peak,5124.785,858,5.9700265
2020-01-01,Brooklyn,2,LCL/LTD,B14,Off-Peak,4548.385,595,7.635337
2020-01-01,Brooklyn,2,LCL/LTD,B14,Peak,1621.346,231,6.992571
2020-01-01,Brooklyn,1,LCL/LTD,B15,Off-Peak,49882.246,5554,8.979826
2020-01-01,Brooklyn,1,LCL/LTD,B15,Peak,13643.301,1959,6.963577
2020-01-01,Brooklyn,2,LCL/LTD,B15,Off-Peak,24033.934,2505,9.590922
2020-01-01,Brooklyn,2,LCL/LTD,B15,Peak,6346.4,746,8.498555
2020-01-01,Brooklyn,1,LCL/LTD,B16,Off-Peak,15578.977,2185,7.129276
2020-01-01,Brooklyn,1,LCL/LTD,B16,Peak,6755.363,1083,6.23709
2020-01-01,Brooklyn,2,LCL/LTD,B16,Off-Peak,5619.138,655,8.571406
2020-01-01,Brooklyn,2,LCL/LTD,B16,Peak,2070.828,253,8.168652
2020-01-01,Brooklyn,1,LCL/LTD,B17,Off-Peak,17976.379,2315,7.764107
2020-01-01,Brooklyn,1,LCL/LTD,B17,Peak,7846.063,1231,6.3712525
2020-01-01,Brooklyn,2,LCL/LTD,B17,Off-Peak,8414.629,970,8.669818
2020-01-01,Brooklyn,2,LCL/LTD,B17,Peak,3011.825,365,8.249102
2020-01-01,Brooklyn,1,LCL/LTD,B2,Off-Peak,4197.102,482,8.689902
2020-01-01,Brooklyn,1,LCL/LTD,B2,Peak,2221.242,299,7.42464
2020-01-01,Brooklyn,2,LCL/LTD,B2,Off-Peak,1959.375,207,9.445211
2020-01-01,Brooklyn,2,LCL/LTD,B2,Peak,709.407,79,8.97384
2020-01-01,Brooklyn,1,LCL/LTD,B20,Off-Peak,16982.176,2372,7.1568637
2020-01-01,Brooklyn,1,LCL/LTD,B20,Peak,7260.368,1163,6.2385807
2020-01-01,Brooklyn,2,LCL/LTD,B20,Off-Peak,5764.631,726,7.9332542
2020-01-01,Brooklyn,2,LCL/LTD,B20,Peak,2189.542,288,7.5766416
2020-01-01,Brooklyn,1,LCL/LTD,B24,Off-Peak,7714.264,888,8.681268
2020-01-01,Brooklyn,1,LCL/LTD,B24,Peak,3360.848,461,7.2814755
2020-01-01,Brooklyn,2,LCL/LTD,B24,Off-Peak,3629.04,369,9.833916
2020-01-01,Brooklyn,2,LCL/LTD,B24,Peak,1330.816,141,9.38851
2020-01-01,Brooklyn,1,LCL/LTD,B25,Off-Peak,17547.266,2850,6.1556363
2020-01-01,Brooklyn,1,LCL/LTD,B25,Peak,6676.507,1214,5.4971776
2020-01-01,Brooklyn,2,LCL/LTD,B25,Off-Peak,6361.486,926,6.8629794
2020-01-01,Brooklyn,2,LCL/LTD,B25,Peak,2336.101,361,6.456563
2020-01-01,Brooklyn,1,LCL/LTD,B26,Off-Peak,17524.979,2671,6.559141
2020-01-01,Brooklyn,1,LCL/LTD,B26,Peak,7999.7773,1372,5.828989
2020-01-01,Brooklyn,2,LCL/LTD,B26,Off-Peak,7399.835,1014,7.2948422
2020-01-01,Brooklyn,2,LCL/LTD,B26,Peak,2780.157,404,6.8778076
